,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.07,1015.0,0.95,1.0,0.001,0.6685482721926769,0.6671333333333334,0.9402074534798924,-0.3122498999199199,-0.3121130036418929,-0.0006442503281679,-0.3114711615764839,0.0,0.0,0.0,0.0,0.0,0.0,0.9402074534798924,3.086181495604581e-08,0.000880492035285,-0.3121130036418929,-0.0004414910582755,-0.3116715125836174,1.627388815985984e-06,-0.3905841364111662,0.3905845201613745,2.442066231141796e-09,5.15501944488853e-17,0.0035232403968158,0.00054491771711,7.415401462776106e-09
1,0.07,1015.0,0.95,1.0,0.002,0.6685482721926769,0.6611294294294294,0.1869044748606404,-0.3122498999199199,-0.3121182719156961,-0.0025687813720716,-0.3095519552100271,0.0,0.0,7.062160499813914e-06,7.683525294739058e-10,2.6839981818393044e-16,0.0,0.1869044748606404,3.1576760758404874e-08,0.0008804918321906,-0.3121182719156961,-0.002905953285934,-0.309212318629762,7.930586074207393e-06,-0.3205977538665392,0.3205992889605615,2.4531663616232204e-09,8.249787178024053e-16,0.0014945287536012,0.0031716885055183,2.0671409140488043e-08
2,0.07,1015.0,0.95,1.0,0.003,0.6685482721926769,0.6551255255255255,0.2757040417651402,-0.3122498999199199,-0.3121270493437355,-0.0057491259495939,-0.30638048353919,3.643466273476631e-05,5.334134499604659e-11,1.865615571734099e-05,7.488525285912906e-10,1.357824368429327e-15,7.603641236995013e-16,0.2757040417651402,3.27877861025552e-08,0.000880491493697,-0.3121270493437355,-0.0053820044262558,-0.3067450449174796,1.842650805409673e-05,-0.3104589145216571,0.3104623678858313,2.465568781936405e-09,4.1739201810629496e-15,0.0020615965585324,0.0061199581298013,1.9510451065861488e-07
3,0.07,1015.0,0.95,1.0,0.004,0.6685482721926769,0.6431177177177178,1.949224088898663,-0.3122498999199199,-0.3121393259965367,-0.0101451395658981,-0.3019968829288229,6.67590983444524e-05,4.600761328497464e-11,3.482813846543734e-05,7.406190224990408e-10,4.2204537061759466e-15,1.7833724740756885e-15,1.949224088898663,3.4518681675334075e-08,0.0008804910197996,-0.3121393259965367,-0.010352796993669,-0.3017865290028677,3.310164415930011e-05,-0.3072358477609025,0.3072419823287963,2.4808583527499917e-09,1.3158706762756974e-14,0.0017825489726316,0.0115301636030913,4.4570241074183604e-07
4,0.07,1015.0,0.95,1.0,0.005,0.6685482721926769,0.6311099099099099,5.489367100474631,-0.3122498999199199,-0.3121550779962089,-0.015701924286009,-0.2964560292074132,0.0001056386925322,2.9636928575079415e-10,5.5522184645980026e-05,7.825503659197947e-10,1.1383464905984487e-14,1.7741215574171317e-13,5.489367100474631,3.679292771806882e-08,0.0008804904104931,-0.3121550779962089,-0.0153589870442471,-0.2967960909519618,5.193790119149363e-05,-0.305949875368439,0.3059594429077244,2.4994803194139846e-09,3.1992909188054025e-14,0.0019243823347818,0.0172633759617636,1.2224527068333596e-06
5,0.07,1015.0,0.95,1.0,0.006,0.6685482721926769,0.6150994994994995,13.673034209807044,-0.3122498999199199,-0.3121742592706907,-0.02235106964008,-0.2898262879197149,0.00015299947099,8.205272188749384e-10,8.067079555235816e-05,1.0559363980866862e-09,4.215879386518448e-14,2.7003270468668325e-12,13.673034209807044,3.9625873617331683e-08,0.0008804896657694,-0.3121742592706907,-0.02208131846146,-0.2900929408092306,7.49134415119366e-05,-0.3054395435103619,0.3054532729942064,2.5278888703265707e-09,6.629489312099884e-14,0.0019007769100943,0.0247442287765452,2.3552359356050364e-06
6,0.07,1015.0,0.95,1.0,0.007,0.6685482721926769,0.5970877877877878,26.89539607084924,-0.3122498999199199,-0.3121967931147917,-0.0300121627949324,-0.2821879951336971,0.0002087588550671,1.7155201680422455e-09,0.000110197879305,1.7613940449821e-09,2.1180859466059613e-13,2.0727121717378572e-11,26.89539607084924,4.301711843065987e-08,0.0008804887856185,-0.3121967931147917,-0.0297115963219514,-0.2824851967928402,0.0001020036163558,-0.3053118356178196,0.3053304172641458,2.586225853957114e-09,1.2507150768968804e-13,0.0019047579805662,0.0332514829317872,4.139047018118447e-06
7,0.07,1015.0,0.95,1.0,0.008,0.6685482721926769,0.5770747747747748,46.31360383024428,-0.3122498999199199,-0.312222564704545,-0.0385945126535618,-0.2736317253762411,0.0002728293894032,3.0835562340385824e-09,0.0001440218795163,2.979130131341033e-09,1.0018610687765158e-12,1.0727379204475838e-10,46.31360383024428,4.6944271694728274e-08,0.0008804877700301,-0.312222564704545,-0.0382722952434694,-0.2739502694610756,0.0001331819654436,-0.3054001298011685,0.3054241956295268,2.7165383987210155e-09,2.28088022471093e-13,0.0019116568111503,0.0427748866520499,6.659826541372366e-06
8,0.07,1015.0,0.95,1.0,0.009,0.6685482721926769,0.5550604604604604,73.22209219776482,-0.3122498999199199,-0.3122514155510114,-0.047999028442383,-0.2642564071931695,0.0003067721191667,4.462858879347654e-09,0.0001820589033897,4.763232226269332e-09,3.956742362466983e-12,3.7299635215260766e-10,73.22209219776482,5.1359000354866594e-08,0.000880486618991,-0.3122514155510114,-0.0477876975906094,-0.2644637179604019,0.0001684212276566,-0.3056212598534075,0.305651362229366,2.9840122773570067e-09,4.253803749619794e-13,0.0019124650097754,0.0533021122981825,9.902066753206806e-06
9,0.07,1015.0,0.95,1.0,0.01,0.6685482721926769,0.5310448448448448,109.00563810087364,-0.3122498999199199,-0.3122831405992252,-0.0581201925434577,-0.2541673473214854,0.0003782736228392,6.7682368864298366e-09,0.0002242256845634,7.174966286659191e-09,1.3137698046865774e-11,1.2484232279836234e-09,109.00563810087364,5.61858701722944e-08,0.0008804853324859,-0.3122831405992252,-0.0582835806300229,-0.2539995599692023,0.0002076943075883,-0.3059279447702708,0.3059645348310997,3.4615145404993982e-09,8.384318652066899e-13,0.0019038096522776,0.0648187312913465,1.372375237923598e-05
