,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.05,1000.0,0.3,1.0,0.02,8.440691151863327,0.8932803803803804,32560.09074147036,-0.9539392014169455,-0.9572154428155738,-0.5591402946864905,-0.3980852648833692,0.0028626026645811,2.614847185549662e-06,0.0019701196490834,2.614135932658576e-06,0.0003442801447594,0.0732699170202882,32560.09074147036,4.191259981314188e-08,0.0004611711233032,-0.9572154428155738,-0.5589178262101693,-0.3982976166054044,0.0010718311857545,-0.8443207153352287,0.8399785529958821,4.703652791206517e-07,1.7441334932028458e-06,0.0023061415143902,0.5998223734678048,0.0006054604879483
1,0.07,1015.0,0.4,1.0,0.02,5.796397403637042,0.8512530530530531,28447.744096883,-0.916515138991168,-0.9239638140915182,-0.5411771851809153,-0.3828145936708914,0.0026062949884916,2.15922875118118e-06,0.0017360466393521,2.150944862278683e-06,0.0001476260127948,0.0588735281058091,28447.744096883,1.1949480514492493e-07,0.0008762070785512,-0.9239638140915182,-0.5408766039878299,-0.3830872101036882,0.0010315069029448,-0.8291913129274369,0.8260726773928077,4.345542658974982e-07,1.0508487742881696e-06,0.0022642140687779,0.5822067859780088,0.0005880079164941
2,0.07,1015.0,0.5,1.0,0.02,4.188790204786391,0.8012205205205205,21922.13485630683,-0.8660254037844386,-0.8719328523177484,-0.5072467771068031,-0.3647116172809728,0.0024062707284462,1.5297745804263166e-06,0.0015453000699584,1.499403521514937e-06,5.93668709101011e-05,0.0222595516986924,21922.13485630683,1.1576601442631649e-07,0.0008770996227526,-0.8719328523177484,-0.5074841068338196,-0.3644487454839287,0.0009956731498732,-0.7940709614807261,0.7920020447025851,3.379146785806235e-07,5.635418239262346e-07,0.002245274293826,0.5477350138130687,0.0005355870473637
3,0.07,1015.0,0.6,1.0,0.02,3.090984060005374,0.7371788788788789,15457.60166869958,-0.8,-0.8042983020409126,-0.4643219220977935,-0.3399990267923526,0.002217524107234,1.0370549513656266e-06,0.0013679796190594,1.003082117321562e-06,2.0776771125272183e-05,0.0069581339387597,15457.60166869958,1.1140769780085437e-07,0.0008780496840876,-0.8042983020409126,-0.4645483665570042,-0.3397499354839083,0.0009572597367286,-0.744667910859833,0.7434382948108594,2.492905280916599e-07,2.593337385363071e-07,0.002229812517648,0.5028057504783248,0.0004694127775034
10,0.07,1015.0,0.74,1.0,0.02,1.9938539687925645,0.6150994994994995,7588.877255063752,-0.6726068688320095,-0.6748665437903041,-0.3849498249319819,-0.2899346123372152,0.0019770055227462,5.374453276933478e-07,0.0011447727230975,5.109314099458872e-07,3.323473817201092e-06,0.0008363412893079,7588.877255063752,1.0510943977566569e-07,0.0008793122397628,-0.6748665437903041,-0.3847797520761496,-0.2900867917141544,0.0009015456230878,-0.6409827902622719,0.6405724410648265,1.4305634537326366e-07,5.938464757765e-08,0.0022113322775238,0.4180672161761176,0.000345543542638
5,0.07,1015.0,0.8,1.0,0.02,1.6087527719832106,0.545053953953954,4942.791626587901,-0.5999999999999999,-0.601562951709028,-0.3412389290077485,-0.2603396037945161,0.0018822797187926,3.76900185702048e-07,0.0010576702444486,3.5553343352822454e-07,1.2028732686140027e-06,0.0002474487315642,4942.791626587901,1.0276437412633021e-07,0.0008797681547958,-0.601562951709028,-0.3414485852293067,-0.2601143664797212,0.0008774925227307,-0.5780593769714921,0.5778813849061628,1.041224262936573e-07,2.48329754364572e-08,0.0021968041540334,0.3713912642350078,0.0002766380410635
6,0.07,1015.0,0.9,1.0,0.02,1.002281803991694,0.392955055055055,1696.5309392069098,-0.4358898943540673,-0.436613925024231,-0.2452714176544914,-0.1913535160135163,0.0017342099300628,1.6307855888879168e-07,0.0009225727789368,1.5164801261169728e-07,1.0362106681824036e-07,1.1802257466017844e-05,1696.5309392069098,1.0015193689761229e-07,0.000880320519053,-0.436613925024231,-0.2449729669772699,-0.191640958046961,0.0008375801656768,-0.4281587712514687,0.4282167922132061,4.745558991820468e-08,2.6836504898914353e-09,0.0021882744419379,0.2671678604207894,0.0001507609156251
7,0.07,1015.0,0.92,1.0,0.02,0.8754692208275249,0.352929029029029,1252.322860575743,-0.3919183588453084,-0.3925207934750581,-0.2200569363916828,-0.172473729565211,0.0017058954632648,1.2696445503234565e-07,0.0008969075830307,1.176904943336806e-07,4.9343036628362e-08,4.590387426600792e-06,1252.322860575743,9.992103235914725e-08,0.0008803905104135,-0.3925207934750581,-0.2195900813400894,-0.1729307121349686,0.00082964394556,-0.3865354401056965,0.3866165411151865,3.7279407072708984e-08,1.3348615137761312e-09,0.0021888829079025,0.2396440371774837,0.0001230454029083
8,0.07,1015.0,0.99,1.0,0.02,0.2859383299483379,0.1247806806806806,290.55798818708905,-0.1410673597966589,-0.1412548808267834,-0.078618382250292,-0.0626400606224282,0.0016096539339384,1.4505329787303493e-08,0.0008101450846614,1.3247203495343102e-08,7.48220831673119e-11,9.42233177788677e-10,290.55798818708905,1.0021034317232682e-07,0.0008805013210315,-0.1412548808267834,-0.0790257580323848,-0.0622291227943986,0.0008020117518712,-0.1412054860923871,0.1412672989238727,5.341805893177538e-09,3.5136784129883548e-12,0.0021463252697401,0.0861849582268537,1.5419762965123405e-05
9,0.07,1015.0,0.999,1.0,0.02,0.0895397140515184,0.040726026026026,233.66882969973824,-0.044710177812216,-0.0447697159966149,-0.0248937513847303,-0.0198770956522165,0.0015975672126685,1.431036388624817e-09,0.0007993049133559,1.5797411726284502e-09,1.0577075836443757e-13,9.176755942837725e-14,233.66882969973824,1.0039441747809361e-07,0.0008804986945071,-0.0447697159966149,-0.0244123314805641,-0.0203573845160508,0.000798475370209,-0.0448424131971377,0.0448632083761913,3.458480652688266e-09,1.4774915194324016e-13,0.0022517219679515,0.0268152333453908,1.8087809245088728e-06
