,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.06,1740.0,0.3,1.0,0.002,8.440691151863328,10.0,938.8527865414808,-0.9539392014169457,-0.9951168403709733,-0.01820291840787056,-0.9773006907922238,0.0,0.0,0.0,0.0,0.0,0.0,938.8527865414808,1.5550107841100862e-06,0.0006302292618651561,-0.9951168403709733,-0.029865997426205326,-0.9652508429447679,-1.06051825495326e-05,-0.9955036092000947,-0.00436407075135804,100.0,0.9819496959185882,0.0004935911987413816,0.031136136964016,3.956653348236498e-07
1,0.06,1740.0,0.3,1.0,0.003,8.440691151863328,8.393574297188755,6.498711473991531,-0.9539392014169457,-0.9927106336813937,-0.039622368026539456,-0.9534307195565179,0.0,0.0,0.0,0.0,0.0,0.0,6.498711473991531,1.3794944465992517e-06,0.0006302291843380377,-0.9927106336813937,-0.039218295893483024,-0.9534923377879106,-2.341408023602202e-05,-0.993053087583057,-0.006807901329550549,100.0,0.9609283190559643,0.0010878992405880302,0.04402826985460843,7.72451451633488e-06
2,0.06,1740.0,0.3,1.0,0.004,8.440691151863328,6.0803212851405615,5411.25774197371,-0.9539392014169457,-0.9897297531782052,-0.06782093523894205,-0.9221996107045426,0.00012669169902558065,3.231226971572199e-08,0.00012380334521636105,3.9115908760390895e-08,5.610207364609526e-09,2.5514212336149943e-06,5411.25774197371,1.1741554028921776e-06,0.0006302290757967626,-0.9897297531782052,-0.06735951032784782,-0.9223702428503574,4.263330971754388e-05,-0.9490050434676286,0.9490434438097535,3.0577433132929505e-09,5.247817408565708e-12,0.0010980906186655083,0.07538919601932739,2.1284770574779866e-05
3,0.06,1740.0,0.3,1.0,0.005,8.440691151863328,4.666666666666666,17542.126301440116,-0.9539392014169457,-0.9864297803337724,-0.10170127132105282,-0.8849662187098059,0.0002886990253287421,1.1230866313468828e-07,0.0002714272032852017,1.316703258769489e-07,2.4061495214094734e-07,0.00011393867418911612,17542.126301440116,9.622748203575877e-07,0.0006302289362380678,-0.9864297803337724,-0.10147617932070307,-0.8849536010130693,8.639388605147298e-05,-0.7285614360644728,0.7285857023803415,1.342228141228145e-08,2.2686061024530727e-10,0.001106045319091648,0.11314935914438383,4.4565963189191895e-05
4,0.06,1740.0,0.3,1.0,0.006,8.440691151863328,3.7349397590361444,31680.367785901315,-0.9539392014169457,-0.9830357751025267,-0.14021418400170216,-0.843009316958297,0.00043431726665650047,2.1329688407798077e-07,0.00039424468699235854,2.4492663689582145e-07,1.7508183099340997e-06,0.000834968469782942,31680.367785901315,7.618715748802656e-07,0.0006302287656576418,-0.9830357751025267,-0.139710314256824,-0.8433254608457027,0.0001309500183661373,-0.687496484647663,0.6874576602102488,2.856349836652941e-08,1.9457090487256542e-09,0.0011259221190246926,0.15537744179875426,8.036471369121666e-05
5,0.06,1740.0,0.3,1.0,0.007,8.440691151863328,3.0602409638554215,46614.06928574379,-0.9539392014169457,-0.9797253543567054,-0.1823734243091352,-0.7974956525239723,0.0005695147151345625,3.229642927325858e-07,0.0004996930283261325,3.6434029336013416e-07,6.398952275689083e-06,0.0030252776921966037,46614.06928574379,5.846720429359571e-07,0.0006302285640504739,-0.9797253543567054,-0.18225187510358332,-0.7974734792531221,0.00017642649342126715,-0.6886849337763522,0.688515808591982,4.652557415490403e-08,8.69113892234602e-09,0.001137699847088401,0.20190927248450452,0.00012631964747593822
6,0.06,1740.0,0.3,1.0,0.008,8.440691151863328,2.546184738955823,61360.04180346535,-0.9539392014169457,-0.9766241401532386,-0.22726107946756477,-0.7494701402379784,0.0006984964102745991,4.357006679873084e-07,0.0005927460483039865,4.83293875995755e-07,1.629281772961418e-05,0.007557393995566532,61360.04180346535,4.365184769339028e-07,0.0006302283314103881,-0.9766241401532386,-0.22868401394593874,-0.7479401262072999,0.00022305319861927342,-0.7046194758868888,0.7042387757265157,6.61783497468596e-08,2.7143160516021086e-08,0.0011416022153428855,0.252074261642861,0.00017813493142265058
7,0.06,1740.0,0.3,1.0,0.009,8.440691151863328,2.1606425702811247,71839.60765267219,-0.9539392014169457,-0.9738093905151586,-0.2740293989997467,-0.6998579990084371,0.0008242939566208092,5.490654782701859e-07,0.0006768579405697587,5.988246395875479e-07,3.3294976580840206e-05,0.015034194163532787,71839.60765267219,3.185665137166649e-07,0.0006302280677303925,-0.9738093905151586,-0.275421481303018,-0.6983879092121406,0.0002710866110848919,-0.7261229932463199,0.7254396785523659,8.68170898618221e-08,6.74375522137546e-08,0.0011629469314561173,0.302606965326307,0.00024265199131557935
8,0.06,1740.0,0.3,1.0,0.01,8.440691151863328,1.8599556370913943,78071.7699717146,-0.9539392014169457,-0.9713180930646439,-0.3219013416790135,-0.6494726828482101,0.0009491762978313536,6.621414296112801e-07,0.0007545269229872726,7.097122795840691e-07,5.876612886317279e-05,0.025667648085521657,78071.7699717146,2.2874735545703682e-07,0.0006302277730022138,-0.9713180930646439,-0.3217509619990041,-0.6495671310656398,0.00032078310625401237,-0.7493106639141863,0.7482280567340447,1.079827323530473e-07,1.4277807477070174e-07,0.0011952937790694527,0.35270416881534816,0.00031972306417892634
9,0.06,1740.0,0.3,1.0,0.02,8.440691151863328,0.45284322881921285,54116.124505552,-0.9539392014169457,-0.9601142869928905,-0.7411747751474539,-0.2189475000044311,0.0024284912623108567,1.8246905459106642e-06,0.0014585827743878765,1.5811766226042541e-06,0.0007111870476286615,0.17766730760785548,54116.124505552,3.3075497788639594e-08,0.0006302231156548163,-0.9601142869928905,-0.7409909807943247,-0.2191233061985658,0.0009578990452684893,-0.9069692266478521,0.8975557885994627,3.09486726871524e-07,5.217982358908416e-06,0.0014984915071024614,0.7765972714612276,0.0005783948141205817
