,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.06,1740.0,0.15,1.0,0.002,18.93637405357614,0.0007,,-0.9886859966642595,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,-0.00034999997141655655,,,,100.0,,0.0,0.0,100.0
1,0.06,1740.0,0.15,1.0,0.003,18.93637405357614,10.0,69256.11912968666,-0.9886859966642595,-1.0354891324547262,-0.04474352685436234,-0.9911612235429101,0.0,0.0,0.0,0.0,0.0,0.0,69256.11912968666,1.6050776928734228e-06,0.0006297980326798911,-1.0354891324547262,-0.07025478871980484,-0.9652343437349213,-2.5392393648103474e-05,-1.035904750397272,0.03552673534002442,100.0,0.9552656581983029,0.000528362416426077,0.07340810773925212,2.420364806979417e-06
2,0.06,1740.0,0.15,1.0,0.004,18.93637405357614,8.843373493975903,11806.986591730181,-0.9886859966642595,-1.031702527602946,-0.07465874023825463,-0.9573942248594548,0.00031622745769034605,1.9373483863258753e-07,0.00036691294562272016,2.631519126546687e-07,5.747798814302578e-07,0.000201454762842736,11806.986591730181,1.3574363136838472e-06,0.0006297979364128809,-1.031702527602946,-0.07440254199052088,-0.957299985612425,5.818187898067764e-05,-0.7753857982396486,0.7754123310928211,1.4941997573331626e-08,1.516540502079976e-10,0.0010972483465998821,0.0831176408931637,2.4953505889779303e-05
3,0.06,1740.0,0.15,1.0,0.005,18.93637405357614,5.855421686746988,30476.13321580573,-0.9886859966642595,-1.027567685911636,-0.11041333010188997,-0.9174386827784005,0.0005174960287729481,4.2892204652810955e-07,0.0005554858254159347,5.556614235406412e-07,8.06900466211184e-06,0.003164276986284243,30476.13321580573,1.1049059217266302e-06,0.0006297978126355655,-1.027567685911636,-0.10981585758152701,-0.917751828330109,0.00010909932665410106,-0.6377012894172774,0.6376400863264629,3.9307455566701324e-08,2.284954936766838e-09,0.0011203677795076448,0.12228816419465258,5.143031045218269e-05
4,0.06,1740.0,0.15,1.0,0.006,18.93637405357614,4.3453815261044175,50655.06065811342,-0.9886859966642595,-1.0233654276175328,-0.15080666884033675,-0.8727816642100216,0.0006676352380113943,6.275349593961597e-07,0.0006769479584556549,7.854208741092506e-07,2.9587310116420814e-05,0.012236693313118116,50655.06065811342,8.689815613542547e-07,0.0006297976613438975,-1.0233654276175328,-0.15068174656840216,-0.8726836810491306,0.0001561407758936973,-0.6322227454764204,0.6319889259255841,6.393285928912113e-08,1.1214954005544387e-08,0.0011292117907506047,0.16701181651958794,8.833081064627206e-05
5,0.06,1740.0,0.15,1.0,0.007,18.93637405357614,3.4136546184738954,69639.83963254163,-0.9886859966642595,-1.0193062521261065,-0.1948102915970214,-0.8246654090956395,0.0007967761574049762,7.974601731252549e-07,0.0007691458357358803,9.705728509615872e-07,6.784125706299562e-05,0.028672950129753554,69639.83963254163,6.625415133998985e-07,0.0006297974825321426,-1.0193062521261065,-0.1956627492199935,-0.823643502906113,0.00020224125742256135,-0.6542337027730287,0.6537316379371396,8.808779222211447e-08,3.5305796216606686e-08,0.0011363281793001715,0.21581611977239018,0.0001350029004666574
6,0.06,1740.0,0.15,1.0,0.008,18.93637405357614,2.8032128514056223,81897.7631226409,-0.9886859966642595,-1.0155331833199868,-0.2414865673348413,-0.7741719732091775,0.0009165649311990238,9.475788515592272e-07,0.0008457975765742725,1.1247519733356651e-06,0.00012305059118356603,0.05215334578528662,81897.7631226409,4.914281801281189e-07,0.0006297972761945669,-1.0155331833199868,-0.24085544996536046,-0.7746777333546263,0.0002486566346297583,-0.6842911118278528,0.6834172714847045,1.1175785406207946e-07,8.670744349144623e-08,0.0011692960869607223,0.2651513239145043,0.0002002063864286306
7,0.06,1740.0,0.15,1.0,0.009,18.93637405357614,2.321285140562249,95879.403477466,-0.9886859966642595,-1.0121297805507692,-0.2899769880273657,-0.7222434428232206,0.001032750142316819,1.084417881670932e-06,0.0009133997859244065,1.2568852496755913e-06,0.00019425538775629826,0.08151592829459707,95879.403477466,3.561583341972741e-07,0.0006297970423238619,-1.0121297805507692,-0.29153507658344313,-0.7205947039673261,0.000296090366807833,-0.7161667535172729,0.7148130400346627,1.34999456221741e-07,1.809813052241685e-07,0.0011709814771253262,0.31910582200369225,0.000258902789259812
8,0.06,1740.0,0.15,1.0,0.01,18.93637405357614,1.9759923949299534,101386.37310363748,-0.9886859966642595,-1.009131868879143,-0.33949815623992396,-0.6696981754804595,0.0011486477588923715,1.2126069697784832e-06,0.0009755565089419463,1.3729248606039345e-06,0.00027992390919348396,0.11520185888609144,101386.37310363748,2.5373580602492466e-07,0.0006297967809121575,-1.009131868879143,-0.3394982359931391,-0.669633632886004,0.0003450128192842318,-0.7473387446852597,0.7453957962563322,1.5785077735921443e-07,3.3612349771472434e-07,0.0012029175701814955,0.370684841489617,0.0003387031852636199
9,0.06,1740.0,0.15,1.0,0.02,18.93637405357614,0.466180787191461,63748.914607314124,-0.9886859966642595,-0.9957284634638791,-0.7707872305206223,-0.2249494615818762,0.002594096622013939,2.4649386543613812e-06,0.001589732708753824,2.168989077711422e-06,0.0014642216204604885,0.37174364450218544,63748.914607314124,3.285036816050485e-08,0.0006297926496093242,-0.9957284634638791,-0.7705736079963612,-0.22515485546751793,0.0009751340566215214,-0.9356548673547419,0.9233836264398192,3.637346046607799e-07,7.687839396549907e-06,0.0015058320765754798,0.8041034020548542,0.000596722361001244
10,0.06,1740.0,0.15,1.0,0.03,18.93637405357614,0.07939159439626418,28282.545180618927,-0.9886859966642595,-0.9930606231884683,-0.953702288842807,-0.03936154311209165,0.004985574991676728,4.110964563330969e-06,0.002565591117977955,2.8908346228276756e-06,0.0019409705404750534,0.2503709732558692,28282.545180618927,1.2762527297681788e-08,0.0006297857484297293,-0.9930606231884683,-0.953406485357592,-0.03965413783087635,0.0019720524092487254,-0.9800444378310341,0.957663612857609,5.470960483423619e-07,1.6542339728610524e-05,0.0021566170933949376,0.948214202292529,0.00010021020393844127
11,0.06,1740.0,0.15,1.0,0.04,18.93637405357614,0.007368779186124083,28691.18247931388,-0.9886859966642595,-0.9920552212446512,-0.9885909324054047,-0.003464798688020994,0.008411424840876742,6.0457514088238654e-06,0.004101043574235682,3.967937488019471e-06,0.0015596073033670766,0.1164573808905099,28691.18247931388,2.0098658089732285e-09,0.0006297760538616834,-0.9920552212446512,-0.9883708650474482,-0.003684356197202994,0.0034019697375783637,-0.9882552207110451,0.961841897661225,7.859618787248354e-07,1.5862819739702647e-05,0.0034003664198915874,0.9618459003779349,1.5867421860149487e-05
12,0.06,1740.0,0.15,1.0,0.05,18.93637405357614,0.000305050700466978,44105.17298556103,-0.9886859966642595,-0.9915529363728395,-0.9914002529103282,-0.00015271925925773293,0.012733282468882029,8.058181779010172e-06,0.006193810093236802,5.4992778982768105e-06,0.001083339811017843,0.053839981860053156,44105.17298556103,1.3937656516940402e-10,0.0006297635329899932,-0.9915529363728395,-0.9914004110249774,-0.00015252534786201044,0.005269892419356076,-0.9899165168961578,0.9635494171317278,1.1247040772786652e-06,1.2075674301508954e-05,0.005236839100421785,0.9634862127213785,1.3306341358597779e-05
13,0.06,1740.0,0.15,1.0,0.06,18.93637405357614,6.334222815210139e-06,73633.3194573557,-0.9886859966642595,-0.9912769060085835,-0.9912735344566931,-3.3727176423360486e-06,0.017882996855742603,1.0110705763396048e-05,0.008794324609707825,7.3925413131435045e-06,0.0007497741339718675,0.026261938615987482,73633.3194573557,4.468305459754675e-12,0.0006297481434951774,-0.9912769060085835,-0.991273738897176,-3.167111407583815e-06,0.00756630798717511,-0.9903449189643974,0.965694442504792,1.5595099632782915e-06,8.957577203883867e-06,0.007536520453756969,0.9656479095010693,9.554581890923899e-06
14,0.06,1740.0,0.15,1.0,0.07,18.93637405357614,1e-06,121458.0782776842,-0.9886859966642595,-0.9911118940015099,-0.9911118566538497,-3.736574493539224e-08,0.023858174196238934,1.3743843263969308e-05,0.011871371544814973,9.568223475958647e-06,0.0005340391090655017,0.016825758508538544,121458.0782776842,6.801504655142851e-14,0.0006297298336563938,-0.9911118940015099,-0.9911113940015099,-4.999999999999162e-07,0.010284456486803855,-0.9904934180258204,0.9682861880799692,2.0795532372465154e-06,6.791578568869084e-06,0.010257551639312279,0.9682543498471556,7.0869301891734825e-06
0,0.06,1740.0,0.15,1.0,0.002,18.93637405357614,0.0007,,-0.9886859966642595,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,-0.00034999997141655655,,,,100.0,,0.0,0.0,100.0
1,0.06,1740.0,0.15,1.0,0.003,18.93637405357614,10.0,69256.11912968666,-0.9886859966642595,-1.0354891324547262,-0.04474352685436234,-0.9911612235429101,0.0,0.0,0.0,0.0,0.0,0.0,69256.11912968666,1.6050776928734228e-06,0.0006297980326798911,-1.0354891324547262,-0.07025478871980484,-0.9652343437349213,-2.5392393648103474e-05,-1.035904750397272,0.03552673534002442,100.0,0.9552656581983029,0.000528362416426077,0.07340810773925212,2.420364806979417e-06
2,0.06,1740.0,0.15,1.0,0.004,18.93637405357614,8.843373493975903,11806.986591730181,-0.9886859966642595,-1.031702527602946,-0.07465874023825463,-0.9573942248594548,0.00031622745769034605,1.9373483863258753e-07,0.00036691294562272016,2.631519126546687e-07,5.747798814302578e-07,0.000201454762842736,11806.986591730181,1.3574363136838472e-06,0.0006297979364128809,-1.031702527602946,-0.07440254199052088,-0.957299985612425,5.818187898067764e-05,-0.7753857982396486,0.7754123310928211,1.4941997573331626e-08,1.516540502079976e-10,0.0010972483465998821,0.0831176408931637,2.4953505889779303e-05
3,0.06,1740.0,0.15,1.0,0.005,18.93637405357614,5.855421686746988,30476.13321580573,-0.9886859966642595,-1.027567685911636,-0.11041333010188997,-0.9174386827784005,0.0005174960287729481,4.2892204652810955e-07,0.0005554858254159347,5.556614235406412e-07,8.06900466211184e-06,0.003164276986284243,30476.13321580573,1.1049059217266302e-06,0.0006297978126355655,-1.027567685911636,-0.10981585758152701,-0.917751828330109,0.00010909932665410106,-0.6377012894172774,0.6376400863264629,3.9307455566701324e-08,2.284954936766838e-09,0.0011203677795076448,0.12228816419465258,5.143031045218269e-05
4,0.06,1740.0,0.15,1.0,0.006,18.93637405357614,4.3453815261044175,50655.06065811342,-0.9886859966642595,-1.0233654276175328,-0.15080666884033675,-0.8727816642100216,0.0006676352380113943,6.275349593961597e-07,0.0006769479584556549,7.854208741092506e-07,2.9587310116420814e-05,0.012236693313118116,50655.06065811342,8.689815613542547e-07,0.0006297976613438975,-1.0233654276175328,-0.15068174656840216,-0.8726836810491306,0.0001561407758936973,-0.6322227454764204,0.6319889259255841,6.393285928912113e-08,1.1214954005544387e-08,0.0011292117907506047,0.16701181651958794,8.833081064627206e-05
5,0.06,1740.0,0.15,1.0,0.007,18.93637405357614,3.4136546184738954,69639.83963254163,-0.9886859966642595,-1.0193062521261065,-0.1948102915970214,-0.8246654090956395,0.0007967761574049762,7.974601731252549e-07,0.0007691458357358803,9.705728509615872e-07,6.784125706299562e-05,0.028672950129753554,69639.83963254163,6.625415133998985e-07,0.0006297974825321426,-1.0193062521261065,-0.1956627492199935,-0.823643502906113,0.00020224125742256135,-0.6542337027730287,0.6537316379371396,8.808779222211447e-08,3.5305796216606686e-08,0.0011363281793001715,0.21581611977239018,0.0001350029004666574
6,0.06,1740.0,0.15,1.0,0.008,18.93637405357614,2.8032128514056223,81897.7631226409,-0.9886859966642595,-1.0155331833199868,-0.2414865673348413,-0.7741719732091775,0.0009165649311990238,9.475788515592272e-07,0.0008457975765742725,1.1247519733356651e-06,0.00012305059118356603,0.05215334578528662,81897.7631226409,4.914281801281189e-07,0.0006297972761945669,-1.0155331833199868,-0.24085544996536046,-0.7746777333546263,0.0002486566346297583,-0.6842911118278528,0.6834172714847045,1.1175785406207946e-07,8.670744349144623e-08,0.0011692960869607223,0.2651513239145043,0.0002002063864286306
7,0.06,1740.0,0.15,1.0,0.009,18.93637405357614,2.321285140562249,95879.403477466,-0.9886859966642595,-1.0121297805507692,-0.2899769880273657,-0.7222434428232206,0.001032750142316819,1.084417881670932e-06,0.0009133997859244065,1.2568852496755913e-06,0.00019425538775629826,0.08151592829459707,95879.403477466,3.561583341972741e-07,0.0006297970423238619,-1.0121297805507692,-0.29153507658344313,-0.7205947039673261,0.000296090366807833,-0.7161667535172729,0.7148130400346627,1.34999456221741e-07,1.809813052241685e-07,0.0011709814771253262,0.31910582200369225,0.000258902789259812
8,0.06,1740.0,0.15,1.0,0.01,18.93637405357614,1.9759923949299534,101386.37310363748,-0.9886859966642595,-1.009131868879143,-0.33949815623992396,-0.6696981754804595,0.0011486477588923715,1.2126069697784832e-06,0.0009755565089419463,1.3729248606039345e-06,0.00027992390919348396,0.11520185888609144,101386.37310363748,2.5373580602492466e-07,0.0006297967809121575,-1.009131868879143,-0.3394982359931391,-0.669633632886004,0.0003450128192842318,-0.7473387446852597,0.7453957962563322,1.5785077735921443e-07,3.3612349771472434e-07,0.0012029175701814955,0.370684841489617,0.0003387031852636199
9,0.06,1740.0,0.15,1.0,0.02,18.93637405357614,0.466180787191461,63748.914607314124,-0.9886859966642595,-0.9957284634638791,-0.7707872305206223,-0.2249494615818762,0.002594096622013939,2.4649386543613812e-06,0.001589732708753824,2.168989077711422e-06,0.0014642216204604885,0.37174364450218544,63748.914607314124,3.285036816050485e-08,0.0006297926496093242,-0.9957284634638791,-0.7705736079963612,-0.22515485546751793,0.0009751340566215214,-0.9356548673547419,0.9233836264398192,3.637346046607799e-07,7.687839396549907e-06,0.0015058320765754798,0.8041034020548542,0.000596722361001244
10,0.06,1740.0,0.15,1.0,0.03,18.93637405357614,0.07939159439626418,28282.545180618927,-0.9886859966642595,-0.9930606231884683,-0.953702288842807,-0.03936154311209165,0.004985574991676728,4.110964563330969e-06,0.002565591117977955,2.8908346228276756e-06,0.0019409705404750534,0.2503709732558692,28282.545180618927,1.2762527297681788e-08,0.0006297857484297293,-0.9930606231884683,-0.953406485357592,-0.03965413783087635,0.0019720524092487254,-0.9800444378310341,0.957663612857609,5.470960483423619e-07,1.6542339728610524e-05,0.0021566170933949376,0.948214202292529,0.00010021020393844127
11,0.06,1740.0,0.15,1.0,0.04,18.93637405357614,0.007368779186124083,28691.18247931388,-0.9886859966642595,-0.9920552212446512,-0.9885909324054047,-0.003464798688020994,0.008411424840876742,6.0457514088238654e-06,0.004101043574235682,3.967937488019471e-06,0.0015596073033670766,0.1164573808905099,28691.18247931388,2.0098658089732285e-09,0.0006297760538616834,-0.9920552212446512,-0.9883708650474482,-0.003684356197202994,0.0034019697375783637,-0.9882552207110451,0.961841897661225,7.859618787248354e-07,1.5862819739702647e-05,0.0034003664198915874,0.9618459003779349,1.5867421860149487e-05
12,0.06,1740.0,0.15,1.0,0.05,18.93637405357614,0.000305050700466978,44105.17298556103,-0.9886859966642595,-0.9915529363728395,-0.9914002529103282,-0.00015271925925773293,0.012733282468882029,8.058181779010172e-06,0.006193810093236802,5.4992778982768105e-06,0.001083339811017843,0.053839981860053156,44105.17298556103,1.3937656516940402e-10,0.0006297635329899932,-0.9915529363728395,-0.9914004110249774,-0.00015252534786201044,0.005269892419356076,-0.9899165168961578,0.9635494171317278,1.1247040772786652e-06,1.2075674301508954e-05,0.005236839100421785,0.9634862127213785,1.3306341358597779e-05
13,0.06,1740.0,0.15,1.0,0.06,18.93637405357614,6.334222815210139e-06,73633.3194573557,-0.9886859966642595,-0.9912769060085835,-0.9912735344566931,-3.3727176423360486e-06,0.017882996855742603,1.0110705763396048e-05,0.008794324609707825,7.3925413131435045e-06,0.0007497741339718675,0.026261938615987482,73633.3194573557,4.468305459754675e-12,0.0006297481434951774,-0.9912769060085835,-0.991273738897176,-3.167111407583815e-06,0.00756630798717511,-0.9903449189643974,0.965694442504792,1.5595099632782915e-06,8.957577203883867e-06,0.007536520453756969,0.9656479095010693,9.554581890923899e-06
14,0.06,1740.0,0.15,1.0,0.07,18.93637405357614,1e-06,121458.0782776842,-0.9886859966642595,-0.9911118940015099,-0.9911118566538497,-3.736574493539224e-08,0.023858174196238934,1.3743843263969308e-05,0.011871371544814973,9.568223475958647e-06,0.0005340391090655017,0.016825758508538544,121458.0782776842,6.801504655142851e-14,0.0006297298336563938,-0.9911118940015099,-0.9911113940015099,-4.999999999999162e-07,0.010284456486803855,-0.9904934180258204,0.9682861880799692,2.0795532372465154e-06,6.791578568869084e-06,0.010257551639312279,0.9682543498471556,7.0869301891734825e-06
15,0.06,1740.0,0.15,1.0,0.09,18.93637405357614,1e-06,296569.98509867396,-0.9886859966642595,-0.9909359344195073,-0.990935934418925,-5.827859604483931e-13,0.03818689909428975,2.358824490284909e-05,0.019421527424486665,1.583815697591232e-05,0.00034251235669325626,0.007934262110839365,296569.98509867396,2.2407564123215032e-18,0.0006296841990611608,-0.9909359344195073,-0.9909354344195074,-4.999999999999159e-07,0.01697408096777601,-0.9905956149164714,0.9744740107595689,3.3379596569082114e-06,4.183503807305248e-06,0.0169497938955235,0.974456366172626,4.283126370094e-06
