,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.05,1700.0,0.3,1.0,0.008,8.440691151863328,2.5140562248995986,63915.37896299135,-0.9539392014169457,-0.9665520522571487,-0.22090096664266828,-0.7457017206389707,0.0007415011818571217,4.322690231820728e-07,0.000635875315244819,4.840225982840204e-07,1.8842114599859913e-05,0.005787007111774159,63915.37896299135,2.0872174421008593e-07,0.0004427216257209059,-0.9665520522571487,-0.2222744659519995,-0.7442775863051492,0.00023185362841671037,-0.6761482690725023,0.6757385771856583,6.786699705597741e-08,3.0155630306711256e-08,0.0011697435204021242,0.24491628494908693,0.00016730816016987155
1,0.05,1700.0,0.3,1.0,0.009,8.440691151863328,2.1606425702811247,72914.5822514211,-0.9539392014169457,-0.9650543190106187,-0.2668773491700913,-0.6982145076093658,0.0008627074555722507,5.365962548381028e-07,0.0007155848190917964,5.900485107387263e-07,3.663619625790307e-05,0.011024882927877216,72914.5822514211,1.5483591103545515e-07,0.00044272149907538733,-0.9650543190106187,-0.2666664097984781,-0.6983879092121406,0.00027884145590052767,-0.7042909532514559,0.7035823987042262,8.683366487026526e-08,7.156047004414455e-08,0.0012036458194485155,0.293345983770216,0.00023600904185791757
2,0.05,1700.0,0.3,1.0,0.01,8.440691151863328,1.8612893929286192,81363.49097236551,-0.9539392014169457,-0.9637184810478152,-0.31404826874777725,-0.6496976583019157,0.000984102338911999,6.411207946950733e-07,0.0007898445050418053,6.921261589511271e-07,6.272179870584346e-05,0.018368165341846973,81363.49097236551,1.1326878275462857e-07,0.0004427213575176716,-0.9637184810478152,-0.3139111927408844,-0.6498072883069308,0.00032775903421371043,-0.7318506140082924,0.7307504983201717,1.0625530723013011e-07,1.471977979891268e-07,0.0012228925944455372,0.3440641342141685,0.00030414522044776835
3,0.05,1700.0,0.3,1.0,0.02,8.440691151863328,0.4675145430286858,64493.20214624459,-0.9539392014169457,-0.9576194420118908,-0.7321509535683729,-0.2254732398597118,0.002452684874577355,1.7255883701553444e-06,0.0014796475491395923,1.4952897384048118e-06,0.0007117836602206572,0.12511750978028569,64493.20214624459,1.974591394990249e-08,0.0004427191205953799,-0.9576194420118908,-0.7318632791019777,-0.22575616290991313,0.0009628779211369653,-0.9022220174888539,0.8929863162365408,2.9169526510212123e-07,5.092152058318964e-06,0.0015246325932845215,0.7678214773129667,0.0005835803235702835
4,0.05,1700.0,0.3,1.0,0.03,8.440691151863328,0.08205910607071382,36976.35231815986,-0.9539392014169457,-0.9564239891144427,-0.9153353547618015,-0.04109057096027527,0.00481186393370826,3.096203760451099e-06,0.002471774142204137,2.1459458089813374e-06,0.0011598773630519127,0.10496843456324245,36976.35231815986,8.014613378551366e-09,0.0004427153848548951,-0.9564239891144427,-0.9154404313807133,-0.04098355773372939,0.0019614305514681304,-0.9442288837020615,0.9262187182437287,4.5307359107604823e-07,1.2160257884621771e-05,0.0021646291971559877,0.9154209007695792,0.00010376321567710662
5,0.05,1700.0,0.3,1.0,0.04,8.440691151863328,0.007368779186124083,45163.544436526434,-0.9539392014169457,-0.9559542778953979,-0.9521325163467381,-0.0038220859484978972,0.008196293755302786,4.742751241284725e-06,0.003988623037270281,3.0042066864056905e-06,0.0010035332094933652,0.054442552149356,45163.544436526434,1.3321364705412895e-09,0.0004427101389908122,-0.9559542778953979,-0.9522699216981949,-0.003684356197202994,0.0033882911096854325,-0.9524088702466291,0.930687545981582,6.52967817235696e-07,1.2092332880132313e-05,0.0033902617026603478,0.9306810261407061,1.2098709209488464e-05
6,0.05,1700.0,0.3,1.0,0.05,8.440691151863328,0.00036106004002668446,75540.28178073063,-0.9539392014169457,-0.9557098557637834,-0.9555291186518187,-0.00018076147493979074,0.012492586738382364,6.5176186866159356e-06,0.006042990733618381,4.200630636626239e-06,0.0007201957360212587,0.027258823451471823,75540.28178073063,9.900611987058555e-11,0.000442703367175518,-0.9557098557637834,-0.9555293257477023,-0.00018053001608108973,0.005250002908552032,-0.9542002521159528,0.9324149526381983,9.326528488008716e-07,9.312540786157362e-06,0.005219605400353172,0.9323659809653672,1.0279930424785764e-05
7,0.05,1700.0,0.3,1.0,0.06,8.440691151863328,9.00133422281521e-06,131261.75227576564,-0.9539392014169457,-0.9555744290598654,-0.9555700799278395,-4.349993258329098e-06,0.017632899396154336,8.361304945159793e-06,0.008594893460734596,5.6888472168265236e-06,0.0005082128401133017,0.014175448663766315,131261.75227576564,3.454410331906019e-12,0.0004426950490617549,-0.9555744290598654,-0.9555699283927541,-4.50066711134661e-06,0.007538104403889946,-0.9547219609240162,0.9344248047983661,1.2912492617378242e-06,6.927661585958627e-06,0.007510170266976931,0.9343865268372701,7.419493928126369e-06
0,0.05,1700.0,0.3,1.0,0.008,8.440691151863328,2.5140562248995986,63915.37896299135,-0.9539392014169457,-0.9665520522571487,-0.22090096664266828,-0.7457017206389707,0.0007415011818571217,4.322690231820728e-07,0.000635875315244819,4.840225982840204e-07,1.8842114599859913e-05,0.005787007111774159,63915.37896299135,2.0872174421008593e-07,0.0004427216257209059,-0.9665520522571487,-0.2222744659519995,-0.7442775863051492,0.00023185362841671037,-0.6761482690725023,0.6757385771856583,6.786699705597741e-08,3.0155630306711256e-08,0.0011697435204021242,0.24491628494908693,0.00016730816016987155
1,0.05,1700.0,0.3,1.0,0.009,8.440691151863328,2.1606425702811247,72914.5822514211,-0.9539392014169457,-0.9650543190106187,-0.2668773491700913,-0.6982145076093658,0.0008627074555722507,5.365962548381028e-07,0.0007155848190917964,5.900485107387263e-07,3.663619625790307e-05,0.011024882927877216,72914.5822514211,1.5483591103545515e-07,0.00044272149907538733,-0.9650543190106187,-0.2666664097984781,-0.6983879092121406,0.00027884145590052767,-0.7042909532514559,0.7035823987042262,8.683366487026526e-08,7.156047004414455e-08,0.0012036458194485155,0.293345983770216,0.00023600904185791757
