,dt,maxt,sigma,Jq,J2,beta0,betaf,betaMSE,E0,Ef,Neq_Kin,Neq_Int,ReGamma,ReErr,ImGamma,ImErr,ReMSE,ImMSE,Therm_MSE,mean_dE,max_dE,thermalE,thermal_Kin,thermal_int,EGamma,Econst,Eampli,EGamm_err,EMSE,E2Gamma,E2ampli,E2MSE
0,0.06,1740.0,0.74,1.0,0.003,1.9938539687925643,1.8959670446964645,172.30408681822584,-0.6726068688320095,-0.6786931343573066,-0.02276406308964312,-0.6559823289451591,1.8169789437862745e-05,9.39685974824606e-10,6.958759435186692e-06,8.633873091929861e-10,1.5699251629864698e-13,7.419020034442624e-11,172.30408681822584,3.1370890461091067e-07,0.0006323219103271963,-0.6786931343573066,-0.022698140893467333,-0.6559949934638393,1.714610326611353e-05,-0.7747775816566996,0.7747871697638711,6.040640476041556e-10,2.307755340835951e-14,0.0010809566978147315,0.025410878924871396,2.4366273884339523e-06
1,0.06,1740.0,0.74,1.0,0.004,1.9938539687925643,1.7999366244162776,673.8805049759504,-0.6726068688320095,-0.6783320802381927,-0.039820346855656566,-0.6385587309606995,6.625519247931854e-05,6.365322080617834e-10,3.7838139242375936e-05,2.728816612912056e-10,6.624462650650433e-14,1.2813328278241763e-10,673.8805049759504,2.76835965632866e-07,0.0006323217188560241,-0.6783320802381927,-0.03979290558315074,-0.638539174655042,3.58111162271542e-05,-0.6594318075247324,0.6594486002640089,5.81755790628791e-10,6.548276424416142e-14,0.0010840157079179272,0.04448284396219076,7.238007480830826e-06
2,0.06,1740.0,0.74,1.0,0.005,1.9938539687925643,1.6892348899266179,1647.1386659020482,-0.6726068688320095,-0.6779174328715926,-0.06096587071077175,-0.6169917388852203,0.00012295423243338538,1.89574117234856e-09,7.541950319805181e-05,2.5499632788776775e-09,1.5222771320747558e-11,2.953178015827843e-09,1647.1386659020482,2.3664821496945957e-07,0.0006323214726723811,-0.6779174328715926,-0.06104765104430099,-0.6168697818272916,5.927678118023957e-05,-0.6223103208123466,0.6223351658899613,9.788075383940006e-10,4.342944175110254e-13,0.0010892182491644379,0.06812551855246136,1.6374540407646048e-05
3,0.06,1740.0,0.74,1.0,0.006,1.9938539687925643,1.571864376250834,3064.714237888142,-0.6726068688320095,-0.6774763085014885,-0.08568617637717219,-0.5918235200379793,0.000189401886644283,7.370138734074269e-09,0.00011858181908125174,8.169679097131728e-09,3.2246873935872e-10,8.797095864646386e-08,3064.714237888142,1.9663981799661337e-07,0.0006323211717734574,-0.6774763085014885,-0.08555154898874251,-0.591924759512746,8.724612566599071e-05,-0.6085178983524061,0.6085497119955315,2.3801362957214394e-09,5.06788543336686e-12,0.001105629759713439,0.09539066960076079,3.1601048983364285e-05
4,0.06,1740.0,0.74,1.0,0.007,1.9938539687925643,1.4504925950633756,4923.9514398226,-0.6726068688320095,-0.6770335354588678,-0.11341884244561089,-0.5636417996041613,0.00026456860631187936,1.636547642482422e-08,0.00016630590821185357,1.719597417671866e-08,2.5308100829347944e-09,7.315445054112572e-07,4923.9514398226,1.5961805809229633e-07,0.0006323208161528076,-0.6770335354588678,-0.11323498725358028,-0.5637985482052875,0.00011943767540164107,-0.6044946443415613,0.6045294477201735,4.785184512302717e-09,3.583391603426366e-11,0.0011184018422798533,0.1260349311935732,5.321482095175535e-05
5,0.06,1740.0,0.74,1.0,0.008,1.9938539687925643,1.3291208138759174,7095.9623762366045,-0.6726068688320095,-0.6766095706596948,-0.14357769120977465,-0.5330535299570937,0.000347607111378981,2.9184596810769157e-08,0.00021773769181129235,2.9859295274188e-08,1.2151265468270117e-08,3.5057651719076254e-06,7095.9623762366045,1.2746254216254707e-07,0.000632320405805639,-0.6766095706596948,-0.14352191087201605,-0.5330876597876788,0.0001556045211516079,-0.6052794524827068,0.6053095835039025,8.219870414694624e-09,1.69055042363001e-10,0.0011303277022428047,0.15937212276110105,8.105324805008946e-05
6,0.06,1740.0,0.74,1.0,0.009,1.9938539687925643,1.2117503002001335,9325.13241035038,-0.6726068688320095,-0.6762194327880973,-0.17557346571010335,-0.5006631427036784,0.0004378762021014919,4.588392443787458e-08,0.0002722123327185642,4.6135551358841216e-08,4.26754044867877e-08,1.1988158479745423e-05,9325.13241035038,1.01097897460299e-07,0.0006323199407238535,-0.6762194327880973,-0.17549337530627118,-0.5007260574818261,0.00019554469907124715,-0.6086011464431849,0.6086148031580462,1.2688250373932564e-08,6.004128979880114e-10,0.001146548434327102,0.1944292981185954,0.0001151097924909899
7,0.06,1740.0,0.74,1.0,0.01,1.9938539687925643,1.0997148098732488,11436.260226784414,-0.6726068688320095,-0.6758725583895261,-0.2088307204098496,-0.4670555369961772,0.0005349353988621263,6.632954531627896e-08,0.00032925102338064467,6.580032186134801e-08,1.2008191002001057e-07,3.238849934125234e-05,11436.260226784414,8.062680169129157e-08,0.0006323194209000138,-0.6758725583895261,-0.20865478399594095,-0.46721777439358514,0.00023910447365294696,-0.6132566474350942,0.6132378384307925,1.814579763305215e-08,1.7298742424191158e-09,0.001165206395853206,0.2306020034588576,0.00015396280452747838
8,0.06,1740.0,0.74,1.0,0.02,1.9938539687925643,0.3288039359573049,13824.65333442595,-0.6726068688320095,-0.6745135140357318,-0.5129962149779143,-0.16152310470905168,0.0018735676349828441,4.0935922713203826e-07,0.0010225412295409618,3.566762550686568e-07,1.532203340804259e-05,0.0020486416299983767,13824.65333442595,3.423125684619072e-08,0.0006323112094330832,-0.6745135140357318,-0.512982542627709,-0.16153097140802275,0.0008659896413229716,-0.6573305183092806,0.6557202169547252,1.0208674353048328e-07,2.8758742039970316e-07,0.0014579374394802392,0.5458845944113121,0.0003478434815679932
9,0.06,1740.0,0.74,1.0,0.03,1.9938539687925643,0.0567177451634423,9936.743090840044,-0.6726068688320095,-0.6743890169217401,-0.6460076223722009,-0.028383708800972598,0.0040047835526634675,8.815087981716258e-07,0.00203617000997098,6.488641321195878e-07,4.7538372533819065e-05,0.002882191788920869,9936.743090840044,1.3554178696000048e-08,0.0006322975080870302,-0.6743890169217401,-0.6460453479721681,-0.028343668949572118,0.0018682806061289985,-0.6705647372755651,0.6665986258991689,1.876495419296896e-07,9.844431831301624e-07,0.0020960151752309314,0.6568665951402228,6.49155819575512e-05
